name,lat,long,uniqueid,province,district(old),f_type,agency,coordinates,sourceofcoordinates,last updated
GATUNDU SUB-DISTRICT HOSPITAL,-1.0157,36.9058,10442,CENTRAL,THIKA,Dispensary,MOH,-1.0157 36.9058,Dispensary,"Thu, 28 Jul 2016 21:07:27 +0000"
GENDIA MISSION HOSPITAL,-0.4013,34.66446,60382,NYANZA,RACHUONYO,Dispensary,MISS,-0.4013 34.66446,Dispensary,"Thu, 28 Jul 2016 21:07:27 +0000"
GESUSU SUB-DISTRICT HOSPITAL,-0.8712,34.9087,60105,NYANZA,CENTRAL KISII,Dispensary,MOH,-0.8712 34.9087,Dispensary,"Thu, 28 Jul 2016 21:07:27 +0000"
GILGIL MENTAL HOSPITAL,-0.49938,36.32146,71143,RIFT VALLEY,NAKURU,Dispensary,MOH,-0.49938 36.32146,Dispensary,"Thu, 28 Jul 2016 21:07:27 +0000"
GILGIL SUB-DISTRICT HOSPITAL,-0.50339,36.32343,70505,RIFT VALLEY,NAKURU,Dispensary,MOH,-0.50339 36.32343,Dispensary,"Thu, 28 Jul 2016 21:07:27 +0000"
GITHONGO SUB-DISTRICT HOSPITAL,-0.00253,37.59128,30015,EASTERN,MERU CENTRAL,Dispensary,MOH,-0.00253 37.59128,Dispensary,"Thu, 28 Jul 2016 21:07:29 +0000"
GITHUMU MISSION HOSPITAL,-0.8267,36.91352,10169,CENTRAL,MARAGUA,Dispensary,MISS,-0.8267 36.91352,Dispensary,"Thu, 28 Jul 2016 21:07:29 +0000"
GK PRISON HOSPITAL(SHIMO LA TEWA),-3.95636,39.74079,20183,COAST,MOMBASA,Dispensary,OTHER MIN,-3.95636 39.74079,Dispensary,"Thu, 28 Jul 2016 21:07:29 +0000"
GUCHA DISTRICT HOSPITAL (OGEMBO),-0.79398,34.72552,60061,NYANZA,GUCHA,Dispensary,MOH,-0.79398 34.72552,Dispensary,"Thu, 28 Jul 2016 21:07:30 +0000"
HABASWEIN SUB-DISTRICT HOSPITAL,1.01842,39.49392,50073,NORTH EASTERN,WAJIR,Dispensary,MOH,1.01842 39.49392,Dispensary,"Thu, 28 Jul 2016 21:07:30 +0000"
HAGADERA MISSION HOSPITAL,0.01072,40.37151,50018,NORTH EASTERN,GARISSA,Health Centre,MISS,0.01072 40.37151,Health Centre,"Thu, 28 Jul 2016 21:07:30 +0000"
HOLA DISTRICT HOSPITAL,-1.4988,40.03025,20312,COAST,TANA RIVER,Health Centre,MOH,-1.4988 40.03025,Health Centre,"Thu, 28 Jul 2016 21:07:30 +0000"
